setor,ano,B,G,R,NIR,verdor,classe
S01,2019,0.041,0.085,0.048,0.388,0.223,Floresta
S01,2024,0.041,0.085,0.048,0.388,0.223,Floresta
S02,2019,0.04,0.09,0.05,0.46,0.273,Floresta
S02,2024,0.04,0.09,0.05,0.46,0.273,Floresta
S03,2019,0.04,0.091,0.05,0.46,0.273,Floresta
S03,2024,0.04,0.091,0.05,0.46,0.273,Floresta
S04,2019,0.056,0.108,0.088,0.431,0.224,Floresta
S04,2024,0.057,0.109,0.089,0.43,0.221,Floresta
S05,2019,0.04,0.09,0.05,0.46,0.273,Floresta
S05,2024,0.052,0.104,0.078,0.438,0.235,Floresta
S06,2019,0.041,0.086,0.049,0.393,0.227,Floresta
S06,2024,0.041,0.086,0.049,0.393,0.227,Floresta
S07,2019,0.044,0.081,0.047,0.323,0.177,Desmatado
S07,2024,0.044,0.081,0.047,0.323,0.177,Desmatado
S08,2019,0.041,0.088,0.05,0.434,0.254,Floresta
S08,2024,0.054,0.103,0.081,0.41,0.213,Floresta
S09,2019,0.053,0.105,0.08,0.438,0.234,Floresta
S09,2024,0.072,0.126,0.123,0.404,0.176,Desmatado
S10,2019,0.041,0.09,0.05,0.459,0.272,Floresta
S10,2024,0.064,0.116,0.104,0.419,0.202,Floresta
S11,2019,0.039,0.089,0.05,0.46,0.274,Floresta
S11,2024,0.047,0.098,0.07,0.445,0.248,Floresta
S12,2019,0.04,0.089,0.05,0.459,0.273,Floresta
S12,2024,0.089,0.145,0.165,0.371,0.121,Desmatado
S13,2019,0.042,0.083,0.047,0.349,0.196,Floresta
S13,2024,0.101,0.147,0.183,0.245,0.016,Desmatado
S14,2019,0.043,0.082,0.047,0.343,0.192,Floresta
S14,2024,0.058,0.098,0.082,0.317,0.146,Desmatado
S15,2019,0.04,0.091,0.05,0.458,0.272,Floresta
S15,2024,0.04,0.091,0.05,0.458,0.272,Floresta
S16,2019,0.04,0.09,0.05,0.46,0.273,Floresta
S16,2024,0.057,0.108,0.089,0.431,0.222,Floresta
S17,2019,0.077,0.131,0.137,0.394,0.159,Desmatado
S17,2024,0.124,0.182,0.244,0.313,0.017,Desmatado
S18,2019,0.04,0.09,0.05,0.46,0.273,Floresta
S18,2024,0.066,0.12,0.112,0.413,0.191,Floresta
S19,2019,0.04,0.088,0.05,0.439,0.258,Floresta
S19,2024,0.048,0.097,0.068,0.425,0.234,Floresta
S20,2019,0.043,0.081,0.047,0.323,0.177,Desmatado
S20,2024,0.043,0.081,0.047,0.323,0.177,Desmatado
S21,2019,0.04,0.09,0.05,0.46,0.273,Floresta
S21,2024,0.04,0.09,0.05,0.46,0.273,Floresta
S22,2019,0.04,0.09,0.05,0.46,0.273,Floresta
S22,2024,0.042,0.092,0.054,0.457,0.268,Floresta
S23,2019,0.04,0.091,0.05,0.46,0.273,Floresta
S23,2024,0.04,0.091,0.05,0.46,0.273,Floresta
S24,2019,0.041,0.09,0.05,0.46,0.272,Floresta
S24,2024,0.041,0.09,0.05,0.46,0.272,Floresta
S25,2019,0.04,0.089,0.05,0.46,0.273,Floresta
S25,2024,0.04,0.089,0.05,0.46,0.273,Floresta
